																																	
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)
																																	
Adventure Spells																																	
																																	
Summon Boat	Summon Boat	1	 	x	 	 	8	7	6	5	0	40	60	80	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Summon Boat}

Summons an existing, friendly, unoccupied boat from anywhere in the world to your location.

Chances for success are 50%.
"	"{Basic Summon Boat}

Summons an existing, friendly, unoccupied boat from anywhere in the world to your location.

Chances for success are 50%.
"	"{Advanced Summon Boat}

Summons an existing, friendly, unoccupied boat from anywhere in the world to your location.  If no boats exist, one is created.

Chances for success are 75%.
"	"{Expert Summon Boat}

Summons an existing, friendly, unoccupied boat from anywhere in the world to your location.  If no boats exist, one is created.
"	 ADV_SPELL
Scuttle Boat	Scuttle Boat	1	 	x	 	 	8	7	6	5	0	40	60	80	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Scuttle Boat}

Destroys a boat you own.  Use with caution, the effects are permanent.

Chances for success are 50%.
"	"{Basic Scuttle Boat}

Destroys a boat you own.  Use with caution, the effects are permanent.

Chances for success are 50%.
"	"{Advanced Scuttle Boat}

Destroys a boat you own.  Use with caution, the effects are permanent.

Chances for success are 75%.
"	"{Expert Scuttle Boat}

Destroys a boat you own.  Use with caution, the effects are permanent.
"	 ADV_SPELL
Visions	Visions	2	 	 	 	x	16	14	12	10	0	1	2	3	4	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Visions}

Gives you a basic idea of the strength of an opposing army, hero, or garrison.
"	"{Basic Visions}

Gives you a basic idea of the strength of an opposing hero or garrison.  In the case of nearby wandering monsters, gives you exact numbers of troops and tells you if they would be willing to join your hero.
"	"{Advanced Visions}

Gives you a basic idea of the strength of an opposing garrison.  In the case of nearby wandering monsters, gives you exact numbers of troops and tells you if they would be willing to join your hero.  Allows you to view a nearby enemy hero's primary skill statistics, creature type and quantity, as if the hero was part of your kingdom.
"	"{Expert Visions}

Gives you exact numbers of wandering monsters and tells you if they would be willing to join your hero.  Allows you to view a nearby enemy hero's primary skill statistics, creature type and quantity, as if the hero was part of your kingdom, as well as a nearby town's statistics, garrison creatures and quantity.
"	 ADV_SPELL
View Earth	View Earth	1	x	 	 	 	8	7	6	5	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{View earth}

Reveals the location of all resources to the caster.
"	"{Basic View Earth}

Reveals the location of all resources to the caster.
"	"{Advanced View Earth}

Reveals the location of all resources and mines to the caster.
"	"{Expert View Earth}

Reveals the location of all resources and mines and reveals all terrain to the caster.
"	 ADV_SPELL
Disguise	Disguise	2	 	 	 	x	16	14	12	10	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Disguise}

Gives false information to an enemy attempting to view your hero.
"	"{Basic Disguise}

Makes all units in your army look like your most powerful unit to enemies trying to view your hero.  Numbers in each group are unchanged.
"	"{Advanced Disguise}

Makes all units in your army look like your most powerful unit to enemies trying to view your hero.  Numbers in each group appear as zero.
"	"{Expert Disguise}

Makes all units in your army look like the most powerful unit affiliated to your hero type to enemies trying to view your hero.  Numbers in each group appear as zero.
"	 ADV_SPELL
View Air	View Air	1	 	 	 	x	8	7	6	5	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{View Air}

Reveals the location of all unclaimed artifacts to the caster.
"	"{Basic View Air}

Reveals the location of all unclaimed artifacts to the caster.
"	"{Advanced View Air}

Reveals the location of all unclaimed artifacts, plus enemy heroes to the caster.
"	"{Expert View Air}

Reveals the location of all unclaimed artifacts, plus enemy heroes and towns to the caster.
"	 ADV_SPELL
Fly	Fly	5	 	 	 	x	32	28	24	20	0	20	40	60	80	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Fly}

Allows your army to use part of its movement to fly over obstacles.  You must land at the end of the turn.
"	"{Basic Fly}

Allows your army to use part of its movement to fly over obstacles.  You must land at the end of the turn.
"	"{Advanced Fly}

Allows your army to use most of its movement to fly over obstacles.  You must land at the end of the turn.
"	"{Expert Fly}

Allows your army to use up to all of its movement to fly over obstacles.  You must land at the end of the turn.
"	 ADV_SPELL
