Map			Zone																																																																									Connections								
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions			
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions
GreatSands XL 2-8	16	16	1			x		1600	1	8	1	8							1												x							2										x							strong		x									x	6000	10000	5	4000	6000	5	2000	4000	5	11	1	8000			1	8	1	8
			11					200	1	8	1	8																					1		1													x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	12	1	8000			1	8	1	8
			12					200	1	8	1	8																					1		1													x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	13	1	8000			1	8	3	8
			13					200	1	8	3	8																					1		1													x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	14	1	8000			1	8	4	8
			14					200	1	8	4	8																					1		1													x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	15	1	8000			1	8	5	8
			15					200	1	8	5	8																					1		1													x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	16	1	8000			1	8	6	8
			16					200	1	8	6	8																					1		1													x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	17	1	8000			1	8	7	8
			17					200	1	8	7	8																					1		1													x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	18	1	8000			1	8	8	8
			18					200	1	8	8	8																					1		1													x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	21	1	8000			1	8	1	8
			21					200	1	8	1	8																								1	1											x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	22	1	8000			1	8	1	8
			22					200	1	8	1	8																								1	1											x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	23	1	8000			1	8	3	8
			23					200	1	8	3	8																								1	1											x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	24	1	8000			1	8	4	8
			24					200	1	8	4	8																								1	1											x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	25	1	8000			1	8	5	8
			25					200	1	8	5	8																								1	1											x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	26	1	8000			1	8	6	8
			26					200	1	8	6	8																								1	1											x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	27	1	8000			1	8	7	8
			27					200	1	8	7	8																								1	1											x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	28	1	8000			1	8	8	8
			28					200	1	8	8	8																								1	1											x							strong		x	x	x	x	x	x	x	x	x	x	5000	7000	3	3000	5000	4	1000	3000	5	31	11	5000	x		1	8	1	8
			31	x				600	1	8	1	8	1		1								x	x	x	x	x	x	x	x		1		1												x									avg			x	x	x	x	x	x	x	x		2600	4000	2	1600	2500	2	100	1500	8	32	12	5000	x		1	8	1	8
			32	x				600	1	8	1	8	2		1								x	x	x	x	x	x	x	x		1		1												x									avg			x	x	x	x	x	x	x	x		2600	4000	2	1600	2500	2	100	1500	8	33	13	5000	x		1	8	3	8
			33	x				600	1	8	3	8	3		1								x	x	x	x	x	x	x	x		1		1												x									avg			x	x	x	x	x	x	x	x		2600	4000	2	1600	2500	2	100	1500	8	34	14	5000	x		1	8	4	8
			34	x				600	1	8	4	8	4		1								x	x	x	x	x	x	x	x		1		1												x									avg			x	x	x	x	x	x	x	x		2600	4000	2	1600	2500	2	100	1500	8	35	15	5000	x		1	8	5	8
			35	x				600	1	8	5	8	5		1								x	x	x	x	x	x	x	x		1		1												x									avg			x	x	x	x	x	x	x	x		2600	4000	2	1600	2500	2	100	1500	8	36	16	5000	x		1	8	6	8
			36	x				600	1	8	6	8	6		1								x	x	x	x	x	x	x	x		1		1												x									avg			x	x	x	x	x	x	x	x		2600	4000	2	1600	2500	2	100	1500	8	37	17	5000	x		1	8	7	8
			37	x				600	1	8	7	8	7		1								x	x	x	x	x	x	x	x		1		1												x									avg			x	x	x	x	x	x	x	x		2600	4000	2	1600	2500	2	100	1500	8	38	18	5000	x		1	8	8	8
			38	x				600	1	8	8	8	8		1								x	x	x	x	x	x	x	x		1		1												x									avg			x	x	x	x	x	x	x	x		2600	4000	2	1600	2500	2	100	1500	8	31	21	5000	x		1	8	1	8
																																																																												32	22	5000	x		1	8	1	8
																																																																												33	23	5000	x		1	8	3	8
																																																																												34	24	5000	x		1	8	4	8
																																																																												35	25	5000	x		1	8	5	8
																																																																												36	26	5000	x		1	8	6	8
																																																																												37	27	5000	x		1	8	7	8
																																																																												38	28	5000	x		1	8	8	8
