Map			Zone																																																																									Connections																																																																																																										
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions																																																																																																					
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions																																																																																																		

Magic of Decateron	32	128	1	x				23	1	8	2	8	1		1								x	x	x	x	x	x	x	x	x	1		1												x									weak		x	x	x	x	x	x	x	x	x	x	450	10900	4	425	5600	6	400	2800	9	2	11		x		1	8	2	8
			2			x		14	1	8	2	8						1					x	x	x	x	x	x	x	x	x			1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	3	3000	6000	6	500	3000	9	4	13		x		1	8	2	8
			3	x				23	1	8	2	8	3		1								x	x	x	x	x	x	x	x	x	1		1												x									weak		x	x	x	x	x	x	x	x	x	x	450	10900	4	425	5600	6	400	2800	9	6	15		x		1	8	2	8
			4			x		14	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1														x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	3	3000	6000	6	500	3000	9	8	9		x		1	8	2	8
			5	x				23	1	8	2	8	5		1								x	x	x	x	x	x	x	x	x	1		1												x									weak		x	x	x	x	x	x	x	x	x	x	450	10900	4	425	5600	6	400	2800	9	20	29		x		1	8	2	8
			6			x		14	1	8	2	8						1					x	x	x	x	x	x	x	x	x			1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	3	3000	6000	6	500	3000	9	23	32	12500			1	8	2	8
			7	x				23	1	8	2	8	7		1								x	x	x	x	x	x	x	x	x	1		1												x									weak		x	x	x	x	x	x	x	x	x	x	450	10900	4	425	5600	6	400	2800	9	18	27		x		1	8	2	8
			8			x		14	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1														x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	3	3000	6000	6	500	3000	9	21	30	12500			1	8	2	8
			9			x		23	1	8	2	8											x	x	x	x	x	x	x	x	x		1														x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	15000	35000	5	80000	80000	5	110000	120000	2	24	25		x		1	8	2	8
			10			x		23	1	8	2	8							2			x	x	x	x	x	x	x	x	x	x							1								x									avg		x	x	x	x	x	x	x	x	x	x	1500	25800	15	425	11200	12	400	5600	9	19	28	12500			1	8	2	8
