Map			Zone																																																																									Connections								
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions			
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions
8XM8	9	32	1	x				20	1	8	2	8	1		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9	1	17	3000			1	8	2	8
			2	x				20	1	8	2	8	2		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9	1	18	3000			1	8	2	8
			3	x				20	1	8	2	8	3		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9	2	23	3000			1	8	2	8
			4	x				20	1	8	2	8	4		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9	2	24	3000			1	8	2	8
			5	x				20	1	8	2	8	5		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9	3	27	3000			1	8	2	8
			6	x				20	1	8	2	8	6		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9	3	28	3000			1	8	2	8
			7	x				20	1	8	2	8	7		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9	4	29	3000			1	8	2	8
			8	x				20	1	8	2	8	8		1		4						x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9	4	30	3000			1	8	2	8
			9					20	1	8	2	8						1		4			x	x	x	x	x	x	x	x	x	1	1	1					2	2	2					x									avg		x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9	5	35	3000			1	8	2	8
			10					20	1	8	2	8						1		4			x	x	x	x	x	x	x	x	x	1		1	1				2		2	2				x									avg		x	x	x	x	x	x	x	x	x	x	6000	12000	1	3000	6000	6	500	3000	9	5	36	3000			1	8	2	8
