Map			Zone																																																																									Connections								
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions			
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions
Battle Arena	16	16	1	x				11	1	2	2	2	1		1								x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	1	3	3000			1	2	2	2
			2	x				11	1	2	2	2	2		1								x	x	x	x	x	x	x	x	x	1		1					2		2					x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	1	5	3000			1	2	2	2
			3			x		11	1	2	2	2						1		3			x	x	x	x	x	x	x	x	x																x		x				x	x	avg		x	x	x	x	x	x	x	x	x	x	9000	15000	1	3000	9000	6	500	3000	9	1	7		x		1	2	2	2
			4			x		11	1	2	2	2						1		3			x	x	x	x	x	x	x	x	x																x		x				x	x	avg		x	x	x	x	x	x	x	x	x	x	9000	15000	1	3000	9000	6	500	3000	9	2	4	3000			1	2	2	2
			5			x		11	1	2	2	2						1		3			x	x	x	x	x	x	x	x	x																x		x				x	x	avg		x	x	x	x	x	x	x	x	x	x	9000	15000	1	3000	9000	6	500	3000	9	2	6	3000			1	2	2	2
			6			x		11	1	2	2	2						1		3			x	x	x	x	x	x	x	x	x																x		x				x	x	avg		x	x	x	x	x	x	x	x	x	x	9000	15000	1	3000	9000	6	500	3000	9	2	8		x		1	2	2	2
			7			x		11	1	2	2	2																										1							1		x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	30000	1	10000	20000	4	10000	15000	6	3	9	15000			1	2	2	2
			8			x		11	1	2	2	2																										1							1		x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	30000	1	10000	20000	4	10000	15000	6	4	9	15000			1	2	2	2
			9			x		11	1	2	2	2																										1							1		x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	30000	1	10000	20000	4	10000	15000	6	5	11	9000			1	2	2	2
			10			x		11	1	2	2	2																																			x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	30000	1	10000	20000	4	10000	15000	6	6	12	9000			1	2	2	2
			11			x		11	1	2	2	2																																			x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	30000	1	10000	20000	4	10000	15000	6	9	10	15000			1	2	2	2
			12			x		11	1	2	2	2																																			x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	30000	1	10000	20000	4	10000	15000	6						1	2	2	2
