Map			Zone																																																																									Connections								
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions			
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions
XL Slater Ring	4	32	1			x		18	1	8	2	8						2					x	x	x	x	x	x	x	x	x							1									x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	35000	55000	3	25000	35000	10	10000	25000	10	2	10	10000			1	8	2	8
			2	x				10	1	8	2	8	1		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	8	500	2500	10	3	11	10000			1	8	2	8
			3	x				10	1	8	2	8	2		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	8	500	2500	10	1	10	15000			1	8	2	8
			4	x				10	1	8	2	8	3		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	8	500	2500	10	1	11	15000			1	8	2	8
			5	x				10	1	8	2	8	4		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	8	500	2500	10	1	12	15000			1	8	2	8
			6	x				10	1	8	2	8	5		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	8	500	2500	10	1	13	15000			1	8	2	8
			7	x				10	1	8	2	8	6		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	8	500	2500	10	1	14	15000			1	8	2	8
			8	x				10	1	8	2	8	7		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	8	500	2500	10	1	15	15000			1	8	2	8
			9	x				10	1	8	2	8	8		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	8	500	2500	10	1	17	15000			1	8	2	8
			10			x		14	1	8	2	8						1					x	x	x	x	x	x	x	x	x		1		1	1	1										x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	15000	3	5000	10000	8	1500	2001	10	1	16	15000			1	8	2	8
			11			x		14	1	8	2	8						1					x	x	x	x	x	x	x	x	x		1		1	1	1										x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	15000	3	5000	10000	8	1500	2001	10	4	13	10000			1	8	2	8
			12			x		14	1	8	2	8						1					x	x	x	x	x	x	x	x	x		1		1	1	1										x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	15000	3	5000	10000	8	1500	2001	10	5	12	10000			1	8	2	8
			13			x		14	1	8	2	8						1					x	x	x	x	x	x	x	x	x		1		1	1	1										x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	15000	3	5000	10000	8	1500	2001	10	9	14	10000			1	8	2	8
			14			x		14	1	8	2	8						1					x	x	x	x	x	x	x	x	x		1		1	1	1										x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	15000	3	5000	10000	8	1500	2001	10	8	15	10000			1	8	2	8
			15			x		14	1	8	2	8						1					x	x	x	x	x	x	x	x	x		1		1	1	1										x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	15000	3	5000	10000	8	1500	2001	10	6	17	10000			1	8	2	8
			16			x		14	1	8	2	8						1					x	x	x	x	x	x	x	x	x		1		1	1	1										x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	15000	3	5000	10000	8	1500	2001	10	7	16	10000			1	8	2	8
			17			x		14	1	8	2	8						1					x	x	x	x	x	x	x	x	x		1		1	1	1										x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	10000	15000	3	5000	10000	8	1500	2001	10									
