Map			Zone																																																																									Connections								
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions			
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions
XXL Unholy Tesseract	16	98	1	x				80	1	8	4	8	1		1								x	x	x				x			1		1		1	1								7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	1	2	8500			1	8	4	8
			2	x				80	1	8	4	8	4		1											x	x	x		x	x	1	1	1	1										7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	1	3	8500			1	8	4	8
			3	x				80	1	8	4	8	6		1											x	x	x		x	x	1	1	1	1										7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	2	4	8500			1	8	4	8
			4	x				80	1	8	4	8	5		1								x	x	x				x			1		1		1	1								7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	3	4	8500			1	8	4	8
			5	x				80	1	8	4	8	2		1											x	x	x		x	x	1	1	1	1										7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	5	6	8500			1	8	4	8
			6	x				80	1	8	4	8	3		1								x	x	x				x			1		1		1	1								7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	5	7	8500			1	8	4	8
			7	x				80	1	8	4	8	7		1								x	x	x				x			1		1		1	1								7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	6	8	8500			1	8	4	8
			8	x				80	1	8	4	8	1		1											x	x	x		x	x	1	1	1	1										7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	7	8	8500			1	8	4	8
			9	x				80	1	8	4	8	5		1											x	x	x		x	x	1	1	1	1										7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	1	5	8500			1	8	4	8
			10	x				80	1	8	4	8	8		1								x	x	x				x			1		1		1	1								7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	2	6	8500			1	8	4	8
			11	x				80	1	8	4	8	4		1								x	x	x				x			1		1		1	1								7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	3	7	8500			1	8	4	8
			12	x				80	1	8	4	8	3		1											x	x	x		x	x	1	1	1	1										7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	4	8	8500			1	8	4	8
			13	x				80	1	8	4	8	6		1								x	x	x				x			1		1		1	1								7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	1	9	8500			1	8	4	8
			14	x				80	1	8	4	8	7		1											x	x	x		x	x	1	1	1	1										7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	2	10	8500			1	8	4	8
			15	x				80	1	8	4	8	8		1											x	x	x		x	x	1	1	1	1										7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	3	11	8500			1	8	4	8
			16	x				80	1	8	4	8	2		1								x	x	x				x			1		1		1	1								7	x									strong		x	x	x	x	x	x	x	x	x	x	5100	7500	3	2600	5000	5	100	2500	7	4	12	8500			1	8	4	8
																																																																												5	13	8500			1	8	4	8
																																																																												6	14	8500			1	8	4	8
																																																																												7	15	8500			1	8	4	8
																																																																												8	16	8500			1	8	4	8
																																																																												9	10	8500			1	8	4	8
																																																																												9	11	8500			1	8	4	8
																																																																												10	12	8500			1	8	4	8
																																																																												11	12	8500			1	8	4	8
																																																																												13	14	8500			1	8	4	8
																																																																												13	15	8500			1	8	4	8
																																																																												14	16	8500			1	8	4	8
																																																																												15	16	8500			1	8	4	8
																																																																												9	13	8500			1	8	4	8
																																																																												10	14	8500			1	8	4	8
																																																																												11	15	8500			1	8	4	8
																																																																												12	16	8500			1	8	4	8
